Processing file: /Users/adityamagarde/Documents/UCR/CS240_NR/AnamolyDetection/scripts/data_proc/final_csvs/type1_labelwise_nans_avg_labelled_merged.csv
Row numbers with NaN values: []
Initial check for NaN values: False
Initial check for Infinite values: False
After scaling, NaN values in X: False
After scaling, Infinite values in X: False
Epoch 41: {'accuracy': 0.8245049118995667, 'loss': 0.37892788648605347, 'val_accuracy': 0.781993567943573, 'val_loss': 0.39543217420578003}
Epoch 42: {'accuracy': 0.8249686360359192, 'loss': 0.37682825326919556, 'val_accuracy': 0.7784565687179565, 'val_loss': 0.4153560698032379}
Epoch 43: {'accuracy': 0.8251595497131348, 'loss': 0.37669435143470764, 'val_accuracy': 0.7752411365509033, 'val_loss': 0.4080636501312256}
Epoch 44: {'accuracy': 0.8249413371086121, 'loss': 0.3760699927806854, 'val_accuracy': 0.7913183569908142, 'val_loss': 0.38658177852630615}
Epoch 45: {'accuracy': 0.8266052007675171, 'loss': 0.37481918931007385, 'val_accuracy': 0.7742765545845032, 'val_loss': 0.41577911376953125}
Epoch 46: {'accuracy': 0.8271507024765015, 'loss': 0.3746945559978485, 'val_accuracy': 0.7742765545845032, 'val_loss': 0.4192878305912018}
Epoch 47: {'accuracy': 0.8271234631538391, 'loss': 0.3733574151992798, 'val_accuracy': 0.7794212102890015, 'val_loss': 0.41111209988594055}
Epoch 48: {'accuracy': 0.8287054896354675, 'loss': 0.37246817350387573, 'val_accuracy': 0.7794212102890015, 'val_loss': 0.41726353764533997}
Epoch 49: {'accuracy': 0.8275598883628845, 'loss': 0.37233883142471313, 'val_accuracy': 0.7813504934310913, 'val_loss': 0.4018535614013672}
Epoch 50: {'accuracy': 0.8292236924171448, 'loss': 0.3699849843978882, 'val_accuracy': 0.7623794078826904, 'val_loss': 0.4423891603946686}
Epoch 51: {'accuracy': 0.828132688999176, 'loss': 0.3714269995689392, 'val_accuracy': 0.7778134942054749, 'val_loss': 0.4065380394458771}
Epoch 52: {'accuracy': 0.8294419050216675, 'loss': 0.36864447593688965, 'val_accuracy': 0.7745980620384216, 'val_loss': 0.4120609164237976}
Epoch 53: {'accuracy': 0.8309693932533264, 'loss': 0.3671624958515167, 'val_accuracy': 0.7954983711242676, 'val_loss': 0.37832605838775635}
Epoch 54: {'accuracy': 0.8298783302307129, 'loss': 0.36705538630485535, 'val_accuracy': 0.7745980620384216, 'val_loss': 0.42915022373199463}
Epoch 55: {'accuracy': 0.8312421441078186, 'loss': 0.3670442998409271, 'val_accuracy': 0.7797427773475647, 'val_loss': 0.4072134792804718}
Epoch 56: {'accuracy': 0.8315421938896179, 'loss': 0.3658861219882965, 'val_accuracy': 0.7906752228736877, 'val_loss': 0.39864131808280945}
Epoch 57: {'accuracy': 0.82990562915802, 'loss': 0.3656465709209442, 'val_accuracy': 0.7768488526344299, 'val_loss': 0.42661023139953613}
Epoch 58: {'accuracy': 0.8307511806488037, 'loss': 0.3639823794364929, 'val_accuracy': 0.7874597907066345, 'val_loss': 0.4034233093261719}
Epoch 59: {'accuracy': 0.8321422934532166, 'loss': 0.3645472526550293, 'val_accuracy': 0.7974276542663574, 'val_loss': 0.38151153922080994}
Epoch 60: {'accuracy': 0.8317604064941406, 'loss': 0.362964928150177, 'val_accuracy': 0.7672025561332703, 'val_loss': 0.4338490962982178}
Epoch 61: {'accuracy': 0.8341879844665527, 'loss': 0.3631380498409271, 'val_accuracy': 0.7665594816207886, 'val_loss': 0.4385320246219635}
Epoch 62: {'accuracy': 0.8339970707893372, 'loss': 0.36370980739593506, 'val_accuracy': 0.7765273451805115, 'val_loss': 0.42498070001602173}
Epoch 63: {'accuracy': 0.832196831703186, 'loss': 0.36179864406585693, 'val_accuracy': 0.7980707287788391, 'val_loss': 0.3831210136413574}
Epoch 64: {'accuracy': 0.8332332968711853, 'loss': 0.3599814474582672, 'val_accuracy': 0.7736334204673767, 'val_loss': 0.42810729146003723}
Epoch 65: {'accuracy': 0.8341606855392456, 'loss': 0.35993093252182007, 'val_accuracy': 0.7845659255981445, 'val_loss': 0.4067458212375641}
Epoch 66: {'accuracy': 0.83612459897995, 'loss': 0.3598875105381012, 'val_accuracy': 0.7974276542663574, 'val_loss': 0.372872918844223}
Epoch 67: {'accuracy': 0.8360700607299805, 'loss': 0.3585541546344757, 'val_accuracy': 0.7929260730743408, 'val_loss': 0.38825228810310364}
Epoch 68: {'accuracy': 0.8336697220802307, 'loss': 0.36150088906288147, 'val_accuracy': 0.7726688385009766, 'val_loss': 0.4359307289123535}
Epoch 69: {'accuracy': 0.8353608846664429, 'loss': 0.36134636402130127, 'val_accuracy': 0.7887459993362427, 'val_loss': 0.3967444896697998}
Epoch 70: {'accuracy': 0.836888313293457, 'loss': 0.3566798269748688, 'val_accuracy': 0.7726688385009766, 'val_loss': 0.43874311447143555}
Epoch 71: {'accuracy': 0.8377066254615784, 'loss': 0.3552209734916687, 'val_accuracy': 0.7906752228736877, 'val_loss': 0.4027356505393982}
Epoch 72: {'accuracy': 0.8370792865753174, 'loss': 0.35547345876693726, 'val_accuracy': 0.7797427773475647, 'val_loss': 0.41398072242736816}
Epoch 73: {'accuracy': 0.8363701105117798, 'loss': 0.3549008071422577, 'val_accuracy': 0.7749196290969849, 'val_loss': 0.4184861481189728}
Epoch 74: {'accuracy': 0.837897539138794, 'loss': 0.3535504639148712, 'val_accuracy': 0.7935691475868225, 'val_loss': 0.3876144289970398}
Epoch 75: {'accuracy': 0.8383885025978088, 'loss': 0.3531379699707031, 'val_accuracy': 0.7884244322776794, 'val_loss': 0.4004015624523163}
Epoch 76: {'accuracy': 0.84018874168396, 'loss': 0.3524227440357208, 'val_accuracy': 0.7803858518600464, 'val_loss': 0.41419652104377747}
Epoch 77: {'accuracy': 0.8390976786613464, 'loss': 0.35260525345802307, 'val_accuracy': 0.7974276542663574, 'val_loss': 0.3844568431377411}
Epoch 78: {'accuracy': 0.8387976884841919, 'loss': 0.35281461477279663, 'val_accuracy': 0.7954983711242676, 'val_loss': 0.38020870089530945}
Epoch 79: {'accuracy': 0.8399705290794373, 'loss': 0.3547831177711487, 'val_accuracy': 0.7871382832527161, 'val_loss': 0.3990490436553955}
Epoch 80: {'accuracy': 0.8404342532157898, 'loss': 0.35002487897872925, 'val_accuracy': 0.7874597907066345, 'val_loss': 0.4076656699180603}
Epoch 81: {'accuracy': 0.841852605342865, 'loss': 0.3504844605922699, 'val_accuracy': 0.7897105813026428, 'val_loss': 0.3990269899368286}
Epoch 82: {'accuracy': 0.8411979675292969, 'loss': 0.34996363520622253, 'val_accuracy': 0.7881028652191162, 'val_loss': 0.40486767888069153}
Epoch 83: {'accuracy': 0.8416616916656494, 'loss': 0.3494611382484436, 'val_accuracy': 0.802893877029419, 'val_loss': 0.38072851300239563}
Epoch 84: {'accuracy': 0.8417162299156189, 'loss': 0.35003992915153503, 'val_accuracy': 0.8057878017425537, 'val_loss': 0.3733043372631073}
Epoch 85: {'accuracy': 0.8426436185836792, 'loss': 0.3488527834415436, 'val_accuracy': 0.7758842706680298, 'val_loss': 0.42369750142097473}
Epoch 86: {'accuracy': 0.8421526551246643, 'loss': 0.3487940728664398, 'val_accuracy': 0.7884244322776794, 'val_loss': 0.4040752053260803}
Epoch 87: {'accuracy': 0.8425344824790955, 'loss': 0.34594425559043884, 'val_accuracy': 0.8051446676254272, 'val_loss': 0.38201671838760376}
Epoch 88: {'accuracy': 0.8435437083244324, 'loss': 0.34956032037734985, 'val_accuracy': 0.7935691475868225, 'val_loss': 0.38786110281944275}
Epoch 89: {'accuracy': 0.8413071036338806, 'loss': 0.3501301407814026, 'val_accuracy': 0.7877813577651978, 'val_loss': 0.3892463743686676}
Epoch 90: {'accuracy': 0.843625545501709, 'loss': 0.3452697992324829, 'val_accuracy': 0.772990345954895, 'val_loss': 0.4430764317512512}
Epoch 91: {'accuracy': 0.8427254557609558, 'loss': 0.34524449706077576, 'val_accuracy': 0.8032154440879822, 'val_loss': 0.37912023067474365}
Epoch 92: {'accuracy': 0.8445802330970764, 'loss': 0.34493666887283325, 'val_accuracy': 0.802893877029419, 'val_loss': 0.37971359491348267}
Epoch 93: {'accuracy': 0.8437346816062927, 'loss': 0.3458710312843323, 'val_accuracy': 0.7945337891578674, 'val_loss': 0.38835516571998596}
Epoch 94: {'accuracy': 0.8453439474105835, 'loss': 0.3432893455028534, 'val_accuracy': 0.772990345954895, 'val_loss': 0.43263041973114014}
Epoch 95: {'accuracy': 0.8431345820426941, 'loss': 0.3451826870441437, 'val_accuracy': 0.7926045060157776, 'val_loss': 0.394284725189209}
Epoch 96: {'accuracy': 0.8441983461380005, 'loss': 0.3446144163608551, 'val_accuracy': 0.7951768636703491, 'val_loss': 0.3963612914085388}
Epoch 97: {'accuracy': 0.845807671546936, 'loss': 0.34242677688598633, 'val_accuracy': 0.7826366424560547, 'val_loss': 0.4320712685585022}
Epoch 98: {'accuracy': 0.8429163694381714, 'loss': 0.34369540214538574, 'val_accuracy': 0.7836012840270996, 'val_loss': 0.42710790038108826}
Epoch 99: {'accuracy': 0.8460258841514587, 'loss': 0.341278612613678, 'val_accuracy': 0.7893890738487244, 'val_loss': 0.4108031988143921}
Epoch 100: {'accuracy': 0.8471441864967346, 'loss': 0.3410986065864563, 'val_accuracy': 0.7967845797538757, 'val_loss': 0.3881526589393616}
Epoch 101: {'accuracy': 0.8461622595787048, 'loss': 0.3404579758644104, 'val_accuracy': 0.7781350612640381, 'val_loss': 0.4401787221431732}
Epoch 102: {'accuracy': 0.8482352495193481, 'loss': 0.34056738018989563, 'val_accuracy': 0.8012861609458923, 'val_loss': 0.3768633306026459}
Epoch 103: {'accuracy': 0.84758061170578, 'loss': 0.3407517969608307, 'val_accuracy': 0.7958199381828308, 'val_loss': 0.39772364497184753}
Epoch 104: {'accuracy': 0.8473351001739502, 'loss': 0.3410806655883789, 'val_accuracy': 0.7823151350021362, 'val_loss': 0.41389283537864685}
Epoch 105: {'accuracy': 0.8472260236740112, 'loss': 0.34097781777381897, 'val_accuracy': 0.7919614315032959, 'val_loss': 0.39664268493652344}
Epoch 106: {'accuracy': 0.8482897877693176, 'loss': 0.3379172384738922, 'val_accuracy': 0.7893890738487244, 'val_loss': 0.39229753613471985}
Epoch 107: {'accuracy': 0.8490535020828247, 'loss': 0.3388502299785614, 'val_accuracy': 0.7974276542663574, 'val_loss': 0.3960716426372528}
