Unnamed: 0,max_betweenness_centrality,avg_betweenness_centrality,max_load_centrality,avg_load_centrality,max_closeness_centrality,avg_closeness_centrality,max_harmonic_centrality,avg_harmonic_centrality,max_degree_centrality,avg_degree_centrality,max_eigenvector_centrality,avg_eigenvector_centrality,max_number_of_cliques,avg_number_of_cliques,max_size_of_cliques,avg_size_of_cliques,max_clustering_coefficent,avg_clustering_coefficent,max_traingle_coefficient,avg_traingle_coefficient,max_square_clustering_coefficient,avg_square_clustering_coefficient,max_avg_neighbour_degree,avg_avg_neighbour_degree,max_eccentricity,avg_eccentricity,Updates,A-Updates,W-Updates,A-Prefix,W-Prefix,A-Dup,W-Dup,AW-Mix,Average AS-path length,Maximum AS-path length,Average packet size,file_name
0,0.2965196512926213,0.0153984444039692,0.2942434448736244,0.0153984444039692,0.4447174447174447,0.2756544301825783,96.4833333333333,54.96417233560096,0.1933701657458563,0.021310181531176,0.3737705584049001,0.0402123765847178,39,3.120879120879121,6,2.5384615384615383,1.0,0.1111855393044791,55,2.258241758241758,0.2264150943396226,0.0434290559957898,35.0,9.679105646515223,9.0,7.0054945054945055,680,622,58,1577,118,1175,64,161,5.646302250803859,17,59.62352941176471,updates.20030125.0145.json
1,0.2886807911941327,0.0113296272415437,0.2883534909651782,0.0113296272415437,0.4055636896046852,0.2514846516813833,133.2107142857142,76.68204742898983,0.1696750902527075,0.0121548970210114,0.366708381855107,0.0298740433207413,43,2.805755395683453,6,2.3453237410071943,1.0,0.0765533505691383,56,1.5,0.5,0.028375661049907,47.0,14.105266803838813,13.0,9.62230215827338,684,636,48,1727,166,977,72,216,5.668238993710692,14,60.10818713450293,updates.20030124.0100.json
2,0.3493153659753176,0.011663385524952,0.3471048380631714,0.011663385524952,0.4418181818181818,0.2698669139497069,124.89999999999984,71.09717993754886,0.1563786008230452,0.0151453821763475,0.3597612372537719,0.0337269331568701,38,2.9385245901639343,6,2.418032786885246,1.0,0.0908808584345403,48,1.6721311475409837,0.5,0.0355883252582155,34.0,9.81501426186375,8.0,6.344262295081967,655,599,56,1952,418,1435,223,623,5.631051752921536,16,63.95572519083969,updates.20030123.0045.json
3,0.249846794111821,0.0127813272221161,0.2468298874865786,0.0127813272221161,0.4152249134948096,0.2556485499594241,117.74999999999991,67.08713692946061,0.1375,0.0151106500691563,0.3574645287140165,0.0316776453911093,33,2.879668049792531,6,2.489626556016597,1.0,0.1255514507789593,61,2.0539419087136928,0.3333333333333333,0.0375105489865231,31.0,8.815289104736431,10.0,7.124481327800829,699,633,66,1479,347,1121,199,403,5.584518167456556,13,58.8340486409156,updates.20030126.1030.json
4,0.2466446998011397,0.0130116787657116,0.2444178953800261,0.0130116787657116,0.4135472370766488,0.2582855804675947,113.21666666666655,65.30766400981001,0.1379310344827586,0.0152064525677076,0.3552132895925076,0.0328516101796426,28,2.841201716738197,6,2.429184549356223,1.0,0.0812014791339917,49,1.7896995708154506,1.0,0.0355802550747545,27.0,8.626193677928525,9.0,6.690987124463519,697,634,63,1508,275,1045,149,275,5.5157728706624605,14,58.94404591104735,updates.20030127.0545.json
5,0.3274918779733168,0.0161767199546853,0.3211504892618876,0.0161767199546853,0.3876404494382022,0.2395144328426294,96.6666666666666,54.94669948107453,0.144927536231884,0.0164901523597176,0.4450505958898061,0.0341724757325172,33,2.889423076923077,4,2.3173076923076925,1.0,0.0844198747159273,33,1.0528846153846154,1.5,0.0437877536811915,21.0,6.934844472961246,10.0,7.336538461538462,671,614,24,1545,222,1210,100,263,6.303405572755418,16,64.25782414307004,updates.20050118.0635.json
6,0.2859207356775709,0.0120432225674185,0.2821143456432393,0.0120432225674185,0.4150326797385621,0.2560137509648752,125.98333333333316,70.86581076875197,0.1496062992125984,0.0141114713601976,0.3811059695063004,0.0311171953196707,39,2.850980392156863,6,2.450980392156863,1.0,0.1066585493209975,61,1.776470588235294,0.6666666666666666,0.0409299430517572,32.0,9.079186543770934,10.0,7.113725490196078,698,629,69,1397,382,979,190,444,5.5643879173290935,19,59.00286532951289,updates.20030127.0230.json
7,0.4284469955810671,0.0148516950855783,0.4292007197849755,0.0148516950855783,0.3304878048780488,0.2058596610127791,112.05,63.92991071428577,0.1734317343173431,0.0111786411981767,0.4315306326345216,0.0259593704001541,41,2.485294117647059,5,2.25,1.0,0.0542261986985209,42,0.8713235294117647,1.5,0.0345040050751291,47.0,10.962698079863964,10.0,7.75,699,675,24,1474,127,927,63,137,5.942222222222222,15,60.01144492131617,updates.20050118.1035.json
8,0.3250380278954196,0.0134523991224136,0.3278155703474041,0.0134523991224136,0.3850931677018633,0.2413417018727578,119.93333333333324,66.63786893606178,0.1693548387096774,0.0146068143541909,0.3876178903121322,0.0321497071862908,44,3.0441767068273093,5,2.3493975903614457,1.0,0.094683417990129,47,1.3614457831325302,0.3333333333333333,0.0333352215880361,42.0,9.114913538046544,10.0,7.618473895582329,670,603,67,1685,638,1061,145,716,5.66334991708126,13,62.571641791044776,updates.20010712.2350.json
9,0.3737429998641871,0.0129310837534149,0.3702356620468707,0.0129310837534149,0.4091680814940577,0.2533620201015023,121.29999999999993,67.30929752066123,0.1867219917012448,0.0147457220259935,0.4539743081815597,0.0330234222926976,45,3.008264462809917,5,2.34297520661157,1.0,0.0663983211437451,49,1.3760330578512396,0.5,0.0303870689537914,45.0,9.726672598184509,10.0,7.739669421487603,726,646,80,1131,295,828,183,339,5.588235294117647,19,56.41184573002755,updates.20010712.2320.json
