,max_betweenness_centrality,avg_betweenness_centrality,max_load_centrality,avg_load_centrality,max_closeness_centrality,avg_closeness_centrality,max_harmonic_centrality,avg_harmonic_centrality,max_degree_centrality,avg_degree_centrality,max_eigenvector_centrality,avg_eigenvector_centrality,max_number_of_cliques,avg_number_of_cliques,max_size_of_cliques,avg_size_of_cliques,max_clustering_coefficent,avg_clustering_coefficent,max_traingle_coefficient,avg_traingle_coefficient,max_square_clustering_coefficient,avg_square_clustering_coefficient,max_avg_neighbour_degree,avg_avg_neighbour_degree,max_eccentricity,avg_eccentricity,Updates,A-Updates,W-Updates,A-Prefix,W-Prefix,A-Dup,W-Dup,AW-Mix,Average AS-path length,Maximum AS-path length,Average packet size,file_name
0,0.35439490212704183,0.011428084659283171,0.3531051238150326,0.011428084659283183,0.4253246753246753,0.25969057001253565,132.83333333333317,74.7688393988774,0.17175572519083968,0.014164223725074747,0.36615734039618913,0.03146920472126314,47,3.0836501901140685,6,2.387832699619772,1.0,0.07827162768047502,50,1.7224334600760456,1.0,0.03867912849480573,45.0,12.899338158039253,9.0,6.9505703422053235,1200,1123,77,3656,250,3086,113,375,5.365093499554764,24,61.71,updates.20010714.0520.json
1,0.3074330603828983,0.00936767515657929,0.30564647688164054,0.009367675156579285,0.4016887816646562,0.25156941925774357,162.16666666666666,91.0125154452999,0.16516516516516516,0.01057344769919618,0.39808990643440756,0.02739227148417201,51,2.9580838323353293,5,2.3622754491017965,1.0,0.10257552172352659,60,1.410179640718563,1.0,0.04105599915998651,55.0,12.311426182663693,10.0,6.979041916167665,1237,1148,89,2752,539,2080,299,578,5.2717770034843205,11,59.63621665319321,updates.20010713.1520.json
2,0.25818214928578515,0.008343312420593075,0.2564146849224899,0.00834331242059308,0.4145816995904751,0.2536623763119114,179.37619047619074,100.46114158321244,0.1366120218579235,0.01022915084647335,0.35761997921240873,0.02521374128627368,54,3.0544959128065394,7,2.4359673024523163,1.0,0.09867843333715755,83,1.904632152588556,1.0,0.03802166819464978,49.0,11.054840308970968,,,1125,1044,81,4322,997,3514,521,1315,5.938697318007663,19,68.90133333333333,updates.20030127.1000.json
3,0.30956936578096916,0.008702322096079646,0.30574213351005025,0.008702322096079634,0.4,0.24564084647015091,172.00000000000003,97.45151632468715,0.11413043478260869,0.009102156238953657,0.3832658849589917,0.024495909273448073,43,2.6991869918699187,6,2.303523035230352,1.0,0.059573548904635704,63,1.2276422764227641,2.0,0.04009075746972223,42.0,10.350999050784461,10.0,7.528455284552845,1200,1134,66,3424,418,2329,89,543,5.508818342151676,16,62.43416666666667,updates.20030123.1845.json
4,0.3877143960214292,0.010118450361831642,0.3840191164853792,0.010118450361831644,0.4134742404227213,0.24982092460588554,157.58333333333354,85.96331421586204,0.18210862619808305,0.012331861378482281,0.4157673404617972,0.028173174985392645,58,3.159235668789809,5,2.4140127388535033,1.0,0.1099373871653168,60,1.7961783439490446,1.0,0.03564508392816337,57.0,12.210577284217624,11.0,8.022292993630574,1251,1159,92,2531,561,2015,251,726,5.796376186367558,19,59.60911270983213,updates.20010714.0205.json
5,0.23717909255058817,0.008528456349400753,0.23680642665927068,0.008528456349400757,0.39664218258132217,0.2447556953209402,175.66666666666688,99.88815177786172,0.10846560846560846,0.009548938308832763,0.3366294430346176,0.023230469209869733,40,2.899736147757256,6,2.387862796833773,1.0,0.08360992248022153,71,1.7018469656992083,1.0,0.03520069616089068,41.0,9.459720984833936,10.0,7.324538258575198,1247,1171,76,2866,408,2179,198,488,5.981212638770282,15,60.65356856455493,updates.20030127.1245.json
6,0.27138486479258794,0.008736554603466258,0.26917560829156156,0.008736554603466257,0.37735849056603776,0.2293185906875069,178.30000000000015,99.9887562838936,0.1075,0.00849127182044882,0.3852436246986268,0.02095899814014002,50,2.827930174563591,6,2.3266832917705735,1.0,0.06943476261457517,80,1.4738154613466334,1.0,0.03185478058931005,43.0,11.058074764378036,9.0,7.132169576059851,1196,1124,72,3380,569,2246,325,857,5.960854092526691,16,63.83862876254181,updates.20030127.1115.json
7,0.32664885653091075,0.0039011680020562736,0.32697516972397306,0.0039011680020562714,0.4093859211183225,0.24559138034496877,384.5666666666658,215.5410436362937,0.15609756097560976,0.003101512135705954,0.48737048822240475,0.017467573281991625,126,2.2740560292326433,5,2.107186358099878,1.0,0.024608631979125377,52,0.3982947624847747,0.5,0.008116384614838797,128.0,35.54457053781757,10.0,7.168087697929354,1194,1156,27,3914,255,1050,88,210,4.807032590051458,14,64.17169179229481,updates.20050112.1225.json
8,0.28812956509993043,0.00946289186070225,0.28534309371382127,0.009462891860702245,0.40024783147459725,0.25529274955881254,155.31666666666658,90.00856158587642,0.14860681114551083,0.011122577686045234,0.3796558351323144,0.02801220114585501,50,2.9598765432098766,5,2.376543209876543,1.0,0.10480015925527075,65,1.6574074074074074,0.2857142857142857,0.026260992794914863,48.0,13.371258147395835,11.0,7.842592592592593,1211,1129,82,3686,518,2885,271,775,5.481842338352524,14,62.702725020644095,updates.20010711.1534.json
9,0.32255615564989615,0.01037707158135143,0.32069958531041937,0.010377071581351425,0.4270353302611367,0.266976480054531,142.38333333333335,80.63865562951587,0.1906474820143885,0.013331270467496931,0.39916973558361457,0.031083078224249668,52,3.096774193548387,6,2.4301075268817205,1.0,0.10703899973121825,59,1.89247311827957,1.0,0.04986671772413578,53.0,12.612068091594361,9.0,6.623655913978495,1197,1109,88,3607,861,2606,405,1045,5.387589928057554,19,63.98078529657477,updates.20010715.0605.json
