,max_betweenness_centrality,avg_betweenness_centrality,max_load_centrality,avg_load_centrality,max_closeness_centrality,avg_closeness_centrality,max_harmonic_centrality,avg_harmonic_centrality,max_degree_centrality,avg_degree_centrality,max_eigenvector_centrality,avg_eigenvector_centrality,max_number_of_cliques,avg_number_of_cliques,max_size_of_cliques,avg_size_of_cliques,max_clustering_coefficent,avg_clustering_coefficent,max_traingle_coefficient,avg_traingle_coefficient,max_square_clustering_coefficient,avg_square_clustering_coefficient,max_avg_neighbour_degree,avg_avg_neighbour_degree,max_eccentricity,avg_eccentricity,Updates,A-Updates,W-Updates,A-Prefix,W-Prefix,A-Dup,W-Dup,AW-Mix,Average AS-path length,Maximum AS-path length,Average packet size,file_name
0,0.35348624246057186,0.008874992857912605,0.3497828572332946,0.008874992857912618,0.40063091482649843,0.23968482790675713,191.76666666666696,100.96366866118181,0.1863517060367454,0.010484945926261816,0.4076024518406924,0.023547201380202536,87,3.3481675392670156,7,2.4895287958115184,1.0,0.08922293713147517,129,2.8350785340314135,1.0,0.037397486328125465,71.0,11.86461400972787,10.0,7.837696335078534,1420,1215,100,3218,254,2449,182,241,6.205147615442846,35,94.71760563380282,updates.20140404.0155.json
1,0.4660324112078449,0.003308133628962258,0.4617844019577511,0.0033081336289622733,0.4597457627118644,0.2668778503573031,492.64999999999776,247.97113266480267,0.2695852534562212,0.003963982118330784,0.5476357669819426,0.01570774729286325,236,2.9781357882623705,5,2.278481012658228,1.0,0.1481677554723967,172,1.0080552359033372,1.0,0.08742499269550454,234.0,51.32018734362685,9.0,6.630609896432682,2381,2277,104,7611,846,4605,555,933,5.3144488361879665,15,64.35909281814364,updates.20010713.1305.json
2,0.2815337025006288,0.00937119057293782,0.27948589353335446,0.009371190572937815,0.421259842519685,0.2592052472759553,160.00000000000006,90.37600584370767,0.17133956386292834,0.01219016659894343,0.376077711410326,0.027952392205911204,56,3.232919254658385,6,2.4627329192546585,1.0,0.12343419910207123,84,2.142857142857143,0.5,0.03516981801257695,55.0,11.723113219385601,11.0,7.385093167701863,1061,979,82,2421,333,1832,149,487,6.01123595505618,34,60.63713477851084,updates.20010918.1258.json
3,0.3398852793329719,0.02601359593674453,0.33772475066722835,0.026013595936744523,0.42695711368277744,0.26014855303309037,58.18333333333337,33.18403015113541,0.19469026548672566,0.0285669927029964,0.41926611246909273,0.054469324928390246,22,2.6578947368421053,4,2.3596491228070176,1.0,0.09213863614222095,23,1.131578947368421,0.4,0.041914865890516496,22.0,6.170336783959075,,,202,180,22,353,120,215,55,113,4.711111111111111,10,55.772277227722775,updates.20050112.0105.json
4,0.2180374086523877,0.007779477558917173,0.2182404497647304,0.007779477558917161,0.38082191780821917,0.24394347081103712,193.5500000000002,111.26443191311633,0.14388489208633093,0.009787385402682605,0.3560601254048546,0.021615619355017032,78,3.5047846889952154,7,2.464114832535885,1.0,0.08409048439060973,115,2.7416267942583734,1.0,0.045939635380647395,60.0,15.919513827991608,10.0,7.985645933014354,1479,1297,106,2559,329,1948,250,330,6.234397677793904,21,94.52535496957404,updates.20140331.0300.json
5,0.30360232151905026,0.01761658031088082,0.3010568384568839,0.017616580310880835,0.37890625,0.2368548889614912,89.31666666666662,51.274725644725706,0.13917525773195877,0.017129262490087203,0.3785605005454674,0.0343138404897708,24,2.7025641025641027,6,2.394871794871795,1.0,0.0684472689455967,41,1.5846153846153845,0.5,0.02780380825892452,27.0,7.526927354510967,11.0,8.071794871794872,461,416,31,1661,307,1181,89,353,5.271028037383178,14,67.10412147505423,updates.20050112.0555.json
6,0.3844615797806543,0.009679724180193965,0.3822039747320754,0.009679724180193972,0.4262068965517241,0.2599813363363946,160.76666666666668,87.25123399897598,0.1941747572815534,0.012255976615513085,0.4051915430966344,0.02852460372774498,61,3.009677419354839,6,2.4387096774193546,1.0,0.12043341041503539,59,1.7419354838709677,1.0,0.04301077883545491,60.0,12.35574323693201,9.0,6.835483870967742,1050,962,88,1945,460,1465,185,403,6.177570093457944,24,59.34285714285714,updates.20010713.2250.json
7,0.31603456753515774,0.02188008355926929,0.31365336813323424,0.021880083559269285,0.410958904109589,0.24689833846614637,76.5,41.72444023967203,0.18666666666666668,0.022869757174392942,0.41076000965719156,0.04097087867678783,31,2.80794701986755,5,2.4635761589403975,1.0,0.08963218223239137,54,2.066225165562914,0.2545454545454545,0.034904872719240795,28.0,6.691615742609119,10.0,7.430463576158941,293,264,27,663,213,449,109,216,5.535849056603774,17,60.21160409556314,updates.20050113.1925.json
8,0.2264843314398664,0.00800985444055287,0.22284811892959505,0.00800985444055288,0.41431670281995664,0.2563921749418819,191.51666666666694,106.48220398690371,0.17277486910994766,0.011592142495864844,0.3683886974174614,0.02387377526716414,78,3.6214099216710185,9,2.6240208877284594,1.0,0.09174938548715533,156,3.759791122715405,0.75,0.04907905774900729,66.0,12.163296272345727,10.0,7.289817232375979,1702,1476,117,3149,608,2584,491,525,6.321853475266124,21,97.08813160987074,updates.20140331.0750.json
9,0.1754571710257835,0.007879517068926591,0.1725123250119764,0.007879517068926586,0.40667361835245047,0.25527417496290633,188.0333333333338,108.16043924816319,0.14358974358974358,0.011515509213718907,0.3116892558109987,0.02298746612993469,74,3.8286445012787724,8,2.5728900255754477,1.0,0.09212015482610761,138,3.8516624040920715,1.0,0.05174376198530862,56.0,12.29545598695797,10.0,7.826086956521739,1971,1738,123,6044,309,5226,201,342,5.968211206896552,21,97.65246067985794,updates.20140401.0320.json
