,max_betweenness_centrality,avg_betweenness_centrality,max_load_centrality,avg_load_centrality,max_closeness_centrality,avg_closeness_centrality,max_harmonic_centrality,avg_harmonic_centrality,max_degree_centrality,avg_degree_centrality,max_eigenvector_centrality,avg_eigenvector_centrality,max_number_of_cliques,avg_number_of_cliques,max_size_of_cliques,avg_size_of_cliques,max_clustering_coefficent,avg_clustering_coefficent,max_traingle_coefficient,avg_traingle_coefficient,max_square_clustering_coefficient,avg_square_clustering_coefficient,max_avg_neighbour_degree,avg_avg_neighbour_degree,max_eccentricity,avg_eccentricity,Updates,A-Updates,W-Updates,A-Prefix,W-Prefix,A-Dup,W-Dup,AW-Mix,Average AS-path length,Maximum AS-path length,Average packet size,file_name
0,0.5343331171263523,0.015314957110846052,0.5344092727603362,0.015314957110846043,0.3470277240490006,0.21598774876490137,98.11666666666659,56.87995053439971,0.11063829787234043,0.013162639740353362,0.4302164565385127,0.029972902602040483,22,2.516949152542373,5,2.2161016949152543,1.0,0.03397995929654387,25,0.6991525423728814,0.5,0.02284023032496105,26.0,8.41216926262402,,,936,892,44,3073,252,2452,127,250,5.119955156950673,13,63.412393162393165,updates.20050114.0535.json
1,0.415232686892855,0.014516196599734323,0.4167199649663555,0.014516196599734323,0.39138240574506283,0.24861697142998132,99.41666666666656,59.82875262738277,0.11009174311926606,0.016128356583301938,0.3370777406441906,0.031727067357143715,28,2.9360730593607305,6,2.356164383561644,1.0,0.05628244644309049,50,1.821917808219178,0.5,0.033716564360858535,24.0,9.917186334830763,10.0,7.54337899543379,1241,1193,48,3955,139,3305,54,221,5.159128978224456,15,64.28283642224012,updates.20050117.0130.json
2,0.6073049575576752,0.0152850052154753,0.5972236296889749,0.015285005215475302,0.3918032786885246,0.2230638331673361,113.29999999999991,58.53944444444452,0.15062761506276148,0.011994421199442074,0.5380492777669601,0.03207823598133319,31,2.433333333333333,3,2.095833333333333,1.0,0.02531720594220594,10,0.225,0.3333333333333333,0.02149943922446914,36.0,6.505281443093941,10.0,7.533333333333333,745,472,273,1094,2600,656,1880,1154,5.680084745762712,15,67.78120805369127,updates.20010919.1053.json
3,0.2617969254325905,0.008707954260348651,0.2606920948965776,0.008707954260348646,0.414608745416675,0.2535574607191392,176.71666666666678,98.11121395036895,0.1694915254237288,0.01285907535609138,0.32044027104023287,0.02442231573904945,79,3.887323943661972,9,2.723943661971831,1.0,0.11668752845306668,162,5.197183098591549,1.0,0.05241133790451546,60.0,12.083287120358502,,,2535,1858,202,4323,397,3778,272,579,5.329865626354573,16,88.50059171597633,updates.20140404.0745.json
4,0.23283562211039635,0.01607794847065307,0.23119088719140363,0.01607794847065306,0.410752688172043,0.25816281883461206,95.9511904761904,54.93340961700343,0.17277486910994766,0.02066972076788829,0.3535951807908683,0.037233279501196065,40,3.4427083333333335,6,2.484375,1.0,0.07259304640805604,69,2.6875,1.0,0.0532050605020428,30.0,8.199844527578904,12.0,9.46875,919,833,72,1728,125,1410,72,139,4.822014051522248,11,59.90424374319913,updates.20060313.0120.json
5,0.2528820243067076,0.00823381682659392,0.25118769198472135,0.008233816826593927,0.41609511178476694,0.2584103888829139,182.10000000000028,102.48447053707336,0.1620879120879121,0.01288574439259368,0.30102089904007107,0.024378702818715743,79,4.101369863013699,9,2.7095890410958905,1.0,0.10814998692982504,151,5.358904109589041,1.0,0.047288122814388045,59.0,11.760223672084374,,,2562,1752,181,3956,610,3298,426,667,5.8961538461538465,27,92.5952380952381,updates.20140404.0315.json
6,0.2231993896391749,0.016558667530659738,0.22300217452300775,0.01655866753065973,0.42643391521197005,0.272368434797271,86.39999999999996,51.33574197120715,0.15789473684210525,0.023187814497484013,0.34940606344480074,0.04116525038417855,32,3.38953488372093,6,2.5,1.0,0.07669817854128555,55,2.4767441860465116,0.5,0.044674506169789206,27.0,8.122334622953272,9.0,6.598837209302325,803,720,76,1196,168,954,120,133,4.8561643835616435,13,57.2266500622665,updates.20060312.1900.json
7,0.6181947040419543,0.013097066589995996,0.6191895956694915,0.013097066589995989,0.4027072758037225,0.25294901075144083,138.65000000000006,68.0747924553366,0.38235294117647056,0.01051299180760168,0.7000282888459458,0.03332980344299673,90,2.221757322175732,3,2.075313807531381,1.0,0.028340255746113485,6,0.13807531380753138,1.0,0.01285701724747865,91.0,35.10949334835318,10.0,7.573221757322176,595,534,61,3767,1244,2711,749,1943,5.749063670411985,17,98.0436974789916,updates.20010712.1732.json
8,0.21016688699276273,0.00678748188213667,0.20914705023839125,0.00678748188213667,0.41312590311598174,0.2558642933265205,221.8833333333338,125.10661584094923,0.15367483296213807,0.010739915862410226,0.28484978142667516,0.021602281834912123,120,4.591111111111111,9,2.7644444444444445,1.0,0.1332268988271891,211,6.48,1.0,0.057128148801425964,69.0,15.367953328423669,,,3610,2483,259,12541,6584,11198,5800,4419,5.826299694189602,22,105.54847645429363,updates.20140404.0600.json
9,0.5957731009070293,0.046894078144078116,0.5884455605158727,0.04689407814407813,0.423841059602649,0.2633932905996367,33.533333333333324,19.400512820512805,0.21875,0.041826923076923074,0.5046460554341946,0.08352958155591297,14,2.4307692307692306,2,2.0,0.0,0.0,0,0.0,0.2222222222222222,0.01443289835106102,14.0,4.330476190476191,8.0,6.4,192,74,118,143,566,67,383,167,5.027027027027027,9,53.958333333333336,updates.20010916.1738.json
