,max_betweenness_centrality,avg_betweenness_centrality,max_load_centrality,avg_load_centrality,max_closeness_centrality,avg_closeness_centrality,max_harmonic_centrality,avg_harmonic_centrality,max_degree_centrality,avg_degree_centrality,max_eigenvector_centrality,avg_eigenvector_centrality,max_number_of_cliques,avg_number_of_cliques,max_size_of_cliques,avg_size_of_cliques,max_clustering_coefficent,avg_clustering_coefficent,max_traingle_coefficient,avg_traingle_coefficient,max_square_clustering_coefficient,avg_square_clustering_coefficient,max_avg_neighbour_degree,avg_avg_neighbour_degree,max_eccentricity,avg_eccentricity,Updates,A-Updates,W-Updates,A-Prefix,W-Prefix,A-Dup,W-Dup,AW-Mix,Average AS-path length,Maximum AS-path length,Average packet size,file_name
0,0.24949980517153303,0.007851764015898297,0.24730831392407474,0.00785176401589829,0.4263068543113895,0.2604352387650895,192.01666666666696,106.93003308623368,0.16666666666666666,0.012313104661389618,0.31581412212190973,0.023983859182308893,87,4.116094986807388,8,2.6939313984168867,1.0,0.11553681824816465,165,5.319261213720317,1.0,0.0586558775464278,63.0,12.698247341237666,,,2522,1844,226,4117,527,3695,383,655,5.404170363797693,19,87.19429024583664,updates.20140401.1225.json
1,0.3019941570750849,0.012515616655222408,0.3017172072230093,0.012515616655222397,0.4115755627009646,0.24947639859861337,127.067857142857,70.26167239591376,0.1640625,0.014317850194552529,0.3958001171517842,0.030042624240336716,37,2.980544747081712,7,2.4280155642023344,1.0,0.07380727658503902,65,1.961089494163424,1.0,0.04431856001494331,33.0,8.457368403436233,13.0,10.272373540856032,1119,998,116,3445,260,2848,153,300,5.18595450049456,19,63.90169794459339,updates.20060315.1415.json
2,0.2770142869561974,0.010003552142606332,0.2733089102031253,0.010003552142606332,0.41983695652173914,0.2550121831826932,153.33333333333334,85.95741726015923,0.15533980582524273,0.01225597661551309,0.36217481799684953,0.02748694172704992,51,3.029032258064516,7,2.503225806451613,1.0,0.09953452356102302,88,2.2838709677419353,0.5,0.03390111493814737,48.0,10.461078503375775,11.0,7.7290322580645165,1323,1091,232,3311,1455,2597,905,2071,5.554744525547445,15,62.55555555555556,updates.20030124.1630.json
3,0.3568200280971251,0.010590862022991535,0.357045506938512,0.010590862022991539,0.345679012345679,0.2141869911408385,149.542857142857,86.32753049081826,0.10164835164835166,0.00936323950022578,0.3301350618138826,0.020402407314543642,33,2.8054794520547945,7,2.3095890410958906,1.0,0.05888167885977283,63,1.5945205479452054,1.0,0.03725872330331645,37.0,10.860187360843625,12.0,8.73150684931507,1736,1662,72,4179,325,3488,206,472,5.296340731853629,16,61.617511520737324,updates.20050118.0925.json
4,0.20727202578067352,0.012130723740532801,0.2066147299641599,0.01213072374053281,0.4,0.2533356439864488,127.41666666666649,71.9406792692507,0.1744186046511628,0.0160126904312951,0.3486974031454788,0.02973558802197929,53,3.4787644787644787,6,2.5135135135135136,1.0,0.09727685242227836,99,3.023166023166023,1.0,0.0625201114125855,36.0,9.212972417985688,11.0,7.93050193050193,1286,1144,123,2923,521,2562,381,452,5.852360515021459,22,62.82192846034214,updates.20060316.1155.json
5,0.5293092836464451,0.014389310296389934,0.5279710792496011,0.01438931029638994,0.40687160940325495,0.24541825802072778,107.38333333333325,61.02606054221105,0.12444444444444444,0.015378564405113062,0.33475422969317964,0.03146215838705001,30,2.8761061946902653,6,2.3716814159292037,1.0,0.07893243383239536,51,1.831858407079646,1.0,0.04346734130667069,28.0,9.687199027757062,10.0,7.446902654867257,1570,1504,66,3795,176,3343,95,268,4.740397350993377,11,60.338853503184716,updates.20050119.1555.json
6,0.2733311340872889,0.012723622442199944,0.2738997067297863,0.012723622442199949,0.39209726443769,0.24388479370843502,124.88333333333323,69.65783845069565,0.16279069767441862,0.014785549669270615,0.3796899397712016,0.028992953342132238,41,3.2316602316602316,6,2.471042471042471,1.0,0.08758476078942393,75,2.583011583011583,1.0,0.045277218587440826,33.0,8.59156527911227,10.0,7.7915057915057915,1362,1254,84,2662,222,2290,146,241,5.038940809968848,15,60.21071953010279,updates.20060315.1100.json
7,0.5159175646621906,0.013606684803731062,0.5186285369844201,0.013606684803731057,0.3848531684698609,0.23721604331478,113.39999999999979,65.59888888888896,0.12449799196787148,0.014714859437751061,0.3192336305999428,0.02826107386034429,33,3.004,6,2.468,1.0,0.08483980648148563,75,2.616,1.0,0.055332526568755154,31.0,10.234178585637554,10.0,7.388,1610,1539,71,3519,200,3058,102,247,5.124675324675325,16,60.31614906832298,updates.20050114.2230.json
8,0.23383316862685968,0.007995517705595943,0.23246108245792912,0.007995517705595952,0.419137474604445,0.2619878682358893,188.24285714285736,105.92178971073858,0.1810810810810811,0.013287681212209546,0.2898158596276023,0.024613456344602568,91,4.5822102425876015,9,2.7951482479784366,1.0,0.11535760008578767,170,6.913746630727763,1.0,0.06977600396849955,67.0,13.971745457270028,,,2849,2116,223,5863,646,4941,390,869,5.666666666666667,39,90.08494208494209,updates.20140401.1730.json
9,0.20936673734712577,0.013560659115973196,0.20823812262222396,0.013560659115973199,0.4215686274509804,0.2676792609762386,109.60952380952371,63.493651127678966,0.17209302325581394,0.019767441860465168,0.3266147199958533,0.035819459072489866,44,3.638888888888889,6,2.6018518518518516,1.0,0.10665918402658692,77,3.4444444444444446,1.0,0.06371525301280355,37.0,9.742123824347997,11.0,8.037037037037036,1225,1119,96,1755,219,1563,147,250,5.060070671378092,16,58.21959183673469,updates.20060314.0920.json
