,max_betweenness_centrality,avg_betweenness_centrality,max_load_centrality,avg_load_centrality,max_closeness_centrality,avg_closeness_centrality,max_harmonic_centrality,avg_harmonic_centrality,max_degree_centrality,avg_degree_centrality,max_eigenvector_centrality,avg_eigenvector_centrality,max_number_of_cliques,avg_number_of_cliques,max_size_of_cliques,avg_size_of_cliques,max_clustering_coefficent,avg_clustering_coefficent,max_traingle_coefficient,avg_traingle_coefficient,max_square_clustering_coefficient,avg_square_clustering_coefficient,max_avg_neighbour_degree,avg_avg_neighbour_degree,max_eccentricity,avg_eccentricity,Updates,A-Updates,W-Updates,A-Prefix,W-Prefix,A-Dup,W-Dup,AW-Mix,Average AS-path length,Maximum AS-path length,Average packet size,file_name
0,0.6762147719440883,0.006444695295584494,0.6766307370535825,0.006444695295584486,0.3902439024390244,0.22319395129432362,249.15000000000083,134.2167942475429,0.07678571428571428,0.0056531703590528,0.3153459636134456,0.0153083131084409,44,2.736185383244207,7,2.306595365418895,1.0,0.05374092748992487,88,1.7700534759358288,1.0,0.029446256904833643,43.0,13.241667870043935,11.0,8.080213903743315,1913,1814,94,4860,314,3537,148,489,5.047671232876712,19,64.08625196027182,updates.20060314.1400.json
1,0.4898474469974726,0.015959013232961207,0.49024904441382755,0.01595901323296121,0.3375886524822695,0.21720567570138535,96.77619047619051,58.14226847072043,0.10084033613445378,0.013712598009915236,0.3854208048827704,0.02870070227354504,27,2.7489539748953975,5,2.2468619246861925,1.0,0.03754555236000787,39,1.0543933054393306,1.0,0.030799880779569563,21.0,8.072885791988378,12.0,8.661087866108787,789,736,53,1724,188,1291,83,161,5.23202170963365,13,59.20278833967047,updates.20050118.1055.json
2,0.20997241349641027,0.01053284125395089,0.20600482418011287,0.010532841253950893,0.4112676056338028,0.2551776682264547,141.29999999999993,81.08197922668917,0.13356164383561642,0.013347982607882497,0.32699783323338355,0.02741523593514705,42,3.262798634812287,7,2.5119453924914676,1.0,0.07842375468268736,86,2.8156996587030716,1.0,0.049635032515078795,39.0,10.082684856703628,11.0,7.918088737201365,1741,1609,107,5791,696,5056,439,735,5.284146341463415,13,67.48363009764503,updates.20060316.0825.json
3,0.2416605394541319,0.00415611127681061,0.23954074131279893,0.004156111276810612,0.41392616283112005,0.24816655175240102,366.649999999999,200.1415190350546,0.130779392338177,0.004768162061742144,0.36425451938872017,0.0153212518062945,110,2.949868073878628,8,2.4274406332453826,1.0,0.09031101056504623,210,2.2994722955145117,1.0,0.044590433805109346,99.0,18.893184088127075,,,3228,2854,374,7082,2235,5248,1473,2309,5.645464025026069,17,61.73327137546468,updates.20030125.1330.json
4,0.3034071796940019,0.01297900257046756,0.3015937585538247,0.012979002570467557,0.4135593220338983,0.2519026750945379,123.26666666666651,67.81745089377749,0.1762295081967213,0.01609233857477411,0.3580897832096035,0.03125092442004532,40,3.2081632653061223,7,2.5306122448979593,1.0,0.07832912608056301,74,2.6816326530612247,1.0,0.04716899509645828,43.0,8.9695297097337,11.0,7.608163265306122,1240,1126,103,2686,286,2339,206,274,5.193520140105079,21,61.028225806451616,updates.20060314.1050.json
5,0.2048369094042335,0.0066777161717011665,0.20340186929826323,0.006677716171701168,0.40825473338685087,0.2512348418142604,226.9833333333339,127.37037777037789,0.14346895074946467,0.010066070023243454,0.28449703418938666,0.02078377298096862,90,4.0918803418803416,10,2.7264957264957266,1.0,0.11596507448372728,192,5.5,1.0,0.054863223717909845,67.0,13.83073636469668,,,3692,2832,311,6970,2316,6168,1712,3020,5.761269276393832,18,91.0249187432286,updates.20140403.1635.json
6,0.6011461372775521,0.016971727323486105,0.6009364150800499,0.01697172732348611,0.40040241448692154,0.2383118849037835,94.69999999999995,53.07371464646471,0.1306532663316583,0.017437185929648203,0.34799695302961503,0.03231486867842022,27,2.805,6,2.435,1.0,0.08172495662232503,58,2.16,1.0,0.04892340667415155,26.0,9.292798507048506,11.0,7.93,1347,1293,54,3127,189,2715,82,295,6.0108191653786704,15,61.34521158129176,updates.20050116.2335.json
7,0.26072788361621113,0.010000704016259705,0.25946041856862856,0.010000704016259711,0.38686987104337633,0.2412248729968319,150.49999999999997,87.09089361460975,0.11212121212121212,0.01166346241874937,0.34479327831262035,0.023895426437828906,53,3.3685800604229605,6,2.4350453172205437,1.0,0.0776817971890133,96,2.7915407854984893,1.0,0.04946841865541818,37.0,11.079730972687276,11.0,7.824773413897281,1483,1339,76,3126,252,2473,103,301,4.914712153518123,18,60.06068779501012,updates.20050118.1405.json
8,0.22786086210776602,0.01041091483169102,0.22628119889855705,0.010410914831691013,0.4107142857142857,0.25292562902502413,145.50000000000003,82.34144444444456,0.1471571906354515,0.013154960981047993,0.375150194294781,0.027337069057442247,49,3.31,6,2.4433333333333334,1.0,0.08364837004223379,88,2.33,1.0,0.052910343982943676,36.5,9.300450242230344,9.0,6.966666666666667,1415,1311,93,2628,184,2217,124,214,5.078947368421052,19,59.43180212014134,updates.20060315.0935.json
9,0.3527444385515625,0.012663148945008005,0.3508827096668239,0.012663148945008003,0.4425287356321839,0.2669148486480846,123.02619047619038,67.70838278101212,0.19913419913419914,0.017353336318853566,0.3606344537094363,0.0327279730494924,47,3.3448275862068964,7,2.564655172413793,1.0,0.09433831263352124,92,3.168103448275862,1.0,0.05266882863980829,46.0,10.40202663781234,12.0,8.379310344827585,1365,1239,114,3181,422,2702,349,472,5.423688394276629,22,62.79194139194139,updates.20060314.1545.json
